Gene	Symbol	Name	Annotation	Interpro_Pfam	GO
NVEC200_002333_1.1	ash3	Aerolysin (Aeromonas salmonicida OX%3D645)	Aerolysin (Aeromonas salmonicida OX%3D645)	"InterPro:IPR005830,Pfam:PF01117"	"GO:0005576,GO:0009405"
NVEC200_002334_1.1	Srsf4	Splicing factor arginine/serine-rich 6	Serine/arginine-rich splicing factor 4 (Mus musculus OX%3D10090)	"InterPro:IPR000504,Pfam:PF00076"	GO:0003676
NVEC200_002335_1.1	wdr70	WD repeat domain 70	WD repeat-containing protein 70 (Xenopus tropicalis OX%3D8364)	"InterPro:IPR001680,Pfam:PF00400"	GO:0005515
NVEC200_002336_1.1	TLN1	Talin-1 (Homo sapiens OX%3D9606)	Talin-1 (Homo sapiens OX%3D9606)	"InterPro:IPR002404,InterPro:IPR002558,InterPro:IPR015009,InterPro:IPR015224,InterPro:IPR018979,InterPro:IPR019748,InterPro:IPR032425,Pfam:PF00373,Pfam:PF01608,Pfam:PF02174,Pfam:PF08913,Pfam:PF09141,Pfam:PF09379,Pfam:PF16511"	"GO:0001726,GO:0003779,GO:0005200,GO:0005925"
NVEC200_002337_1.1	Cdcp2	CUB domain-containing protein 2 (Mus musculus OX%3D10090)	CUB domain-containing protein 2 (Mus musculus OX%3D10090)	"InterPro:IPR000859,Pfam:PF00431"	
NVEC200_002338_1.1	Tmem30a	Cell cycle control protein 50A	Cell cycle control protein 50A (Mus musculus OX%3D10090)	"InterPro:IPR005045,Pfam:PF03381"	GO:0016020
NVEC200_002339_1.1	Dmbt1	deleted in malignant brain tumors 1 protein-like	Deleted in malignant brain tumors 1 protein (Mus musculus OX%3D10090)	"InterPro:IPR001190,Pfam:PF00530"	"GO:0005044,GO:0016020"
NVEC200_002340_1.1		NVEC200_002340_1.1	Unknown protein		
NVEC200_002341_1.1		NVEC200_002341_1.1	Potassium channel		
NVEC200_002342_1.1	TMEM177	Transmembrane protein 177	Transmembrane protein 177 (Homo sapiens OX%3D9606)	"InterPro:IPR001915,Pfam:PF01435"	"GO:0004222,GO:0006508"
NVEC200_002343_1.1	tmem177	Transmembrane protein 177	Transmembrane protein 177 (Danio rerio OX%3D7955)	"InterPro:IPR001915,Pfam:PF01435"	"GO:0004222,GO:0006508"
NVEC200_002344_1.1		Endothelin-converting enzyme 1	Similar to Endothelin-converting enzyme homolog (Locusta migratoria OX%3D7004)	"InterPro:IPR008753,InterPro:IPR018497,Pfam:PF01431,Pfam:PF05649"	"GO:0004222,GO:0006508"
NVEC200_002345_1.1	GABRB1	Gamma-aminobutyric acid receptor subunit beta-1	Gamma-aminobutyric acid receptor subunit beta-1 (Bos taurus OX%3D9913)	"InterPro:IPR006029,InterPro:IPR006202,Pfam:PF02931,Pfam:PF02932"	"GO:0005230,GO:0006811,GO:0016021"
NVEC200_002346_1.1	CAC	Voltage-dependent L-type calcium channel subunit alpha	Voltage-dependent calcium channel type A subunit alpha-1 (Apis mellifera OX%3D7460)	"InterPro:IPR005821,InterPro:IPR014873,InterPro:IPR031649,Pfam:PF00520,Pfam:PF08763,Pfam:PF16905"	"GO:0005216,GO:0006811,GO:0016020,GO:0055085"
NVEC200_002347_1.1	UAP1	UDP-N-acetylglucosamine pyrophosphorylase 1	UDP-N-acetylhexosamine pyrophosphorylase (Homo sapiens OX%3D9606)	"InterPro:IPR002618,Pfam:PF01704"	GO:0070569
NVEC200_002348_1.1	yipf3	Protein YIPF3	Protein YIPF3 (Danio rerio OX%3D7955)		
NVEC200_002349_1.1	gtf2a2	Transcription initiation factor IIA subunit 2	Transcription initiation factor IIA subunit 2 (Oncorhynchus mykiss OX%3D8022)	"InterPro:IPR015871,InterPro:IPR015872,Pfam:PF02268,Pfam:PF02751"	"GO:0005672,GO:0006367"
NVEC200_002350_1.1		NVEC200_002350_1.1	Unknown protein	"InterPro:IPR029138,Pfam:PF15497"	"GO:0005634,GO:0006366,GO:0006384"
NVEC200_002351_1.1	Mmp2	MAM and LDL-receptor class A domain-containing protein 1	72 kDa type IV collagenase (Mus musculus OX%3D10090)	"InterPro:IPR000562,InterPro:IPR000998,Pfam:PF00040,Pfam:PF00629"	GO:0016020
NVEC200_002352_1.1		NVEC200_002352_1.1	Unknown protein		
NVEC200_002353_1.1		MAM and LDL-receptor class A domain-containing protein 1	Similar to MAM and LDL-receptor class A domain-containing protein 2 (Fragment) (Acropora millepora OX%3D45264)	"InterPro:IPR000519,InterPro:IPR000998,InterPro:IPR002172,Pfam:PF00057,Pfam:PF00088,Pfam:PF00629"	
NVEC200_002354_1.1	nSMase	Endo/exonuclease/phosphatase domain-containing protein	Putative neutral sphingomyelinase (Drosophila melanogaster OX%3D7227)		
NVEC200_002355_1.1	ANPEP	Aminopeptidase N (Sus scrofa OX%3D9823)	Aminopeptidase N (Sus scrofa OX%3D9823)	"InterPro:IPR014782,InterPro:IPR024571,Pfam:PF01433,Pfam:PF11838,Pfam:PF17900"	"GO:0008237,GO:0008270"
NVEC200_002356_1.1	epi-1	Unknown protein	Laminin-like protein epi-1 (Caenorhabditis elegans OX%3D6239)		
NVEC200_002357_1.1		NVEC200_002357_1.1	Unknown protein		
NVEC200_002358_1.1		NVEC200_002358_1.1	Unknown protein		
NVEC200_002359_1.1	PRP2	Unknown protein	Repetitive proline-rich cell wall protein 2 (Medicago truncatula OX%3D3880)		
NVEC200_002360_1.1	FER	Tyrosine-protein kinase	Tyrosine-protein kinase Fer (Canis lupus familiaris OX%3D9615)	"InterPro:IPR000980,InterPro:IPR001060,InterPro:IPR001245,Pfam:PF00017,Pfam:PF00611,Pfam:PF07714"	"GO:0004672,GO:0006468"
NVEC200_002361_1.1	ASIC1	Acid-sensing ion channel 3	Acid-sensing ion channel 1 (Homo sapiens OX%3D9606)	"InterPro:IPR001873,Pfam:PF00858"	"GO:0005272,GO:0006814,GO:0016020"
NVEC200_002362_1.1	COMP	Cartilage oligomeric matrix protein (Bos taurus OX%3D9913)	Cartilage oligomeric matrix protein (Bos taurus OX%3D9913)	"InterPro:IPR001611,InterPro:IPR001881,InterPro:IPR003367,InterPro:IPR008859,InterPro:IPR026823,InterPro:IPR026906,Pfam:PF02412,Pfam:PF05735,Pfam:PF07645,Pfam:PF12662,Pfam:PF13306,Pfam:PF13385,Pfam:PF13855"	"GO:0005509,GO:0005515,GO:0005576,GO:0007155"
NVEC200_002363_1.1		Nidogen-2	Similar to Equistatin (Actinia equina OX%3D6106)	"InterPro:IPR000716,InterPro:IPR002035,InterPro:IPR002223,Pfam:PF00014,Pfam:PF00086,Pfam:PF00092"	GO:0004867
NVEC200_002364_1.1	OSBPL11	Oxysterol-binding protein	Oxysterol-binding protein-related protein 11 (Homo sapiens OX%3D9606)	"InterPro:IPR000648,InterPro:IPR001849,Pfam:PF00169,Pfam:PF01237"	
NVEC200_002365_1.1	cpsf3l	Integrator complex subunit 11	Integrator complex subunit 11 (Danio rerio OX%3D7955)	"InterPro:IPR001279,InterPro:IPR011108,InterPro:IPR022712,Pfam:PF07521,Pfam:PF10996,Pfam:PF16661"	
NVEC200_002366_1.1	Ubiad1	UbiA prenyltransferase domain-containing protein 1	UbiA prenyltransferase domain-containing protein 1 (Rattus norvegicus OX%3D10116)	"InterPro:IPR000537,Pfam:PF01040"	"GO:0016021,GO:0016765"
NVEC200_002367_1.1	Tnk2	Activated CDC42 kinase 1	Activated CDC42 kinase 1 (Mus musculus OX%3D10090)	"InterPro:IPR001245,InterPro:IPR001452,Pfam:PF00018,Pfam:PF07714"	"GO:0004672,GO:0005515,GO:0006468"
NVEC200_002368_1.1	GLCE	Glucuronic acid epimerase	D-glucuronyl C5-epimerase (Homo sapiens OX%3D9606)	"InterPro:IPR010598,Pfam:PF06662"	
NVEC200_002369_1.1	Hyal5	Hyaluronidase-5 (Mus musculus OX%3D10090)	Hyaluronidase-5 (Mus musculus OX%3D10090)	"InterPro:IPR018155,Pfam:PF01630"	"GO:0004415,GO:0005975"
NVEC200_002370_1.1		NVEC200_002370_1.1	Unknown protein		
NVEC200_002371_1.1	Efnb2	Ephrin-B2 (Mus musculus OX%3D10090)	Ephrin-B2 (Mus musculus OX%3D10090)	"InterPro:IPR001799,Pfam:PF00812"	GO:0016020
NVEC200_002372_1.1	MITD1	MIT domain-containing protein 1 isoform X1	MIT domain-containing protein 1 (Homo sapiens OX%3D9606)	"InterPro:IPR007330,InterPro:IPR032341,Pfam:PF04212,Pfam:PF16565"	
NVEC200_002373_1.1	TrpA1	Transient receptor potential cation channel subfamily A member 1	Transient receptor potential cation channel subfamily A member 1 (Drosophila melanogaster OX%3D7227)	"InterPro:IPR002110,InterPro:IPR020683,Pfam:PF00023,Pfam:PF12796"	GO:0005515
NVEC200_002374_1.1	SLC25A20	Mitochondrial carnitine/acylcarnitine carrier protein	Mitochondrial carnitine/acylcarnitine carrier protein (Homo sapiens OX%3D9606)	"InterPro:IPR018108,Pfam:PF00153"	
NVEC200_002375_1.1	Rcc2	Protein RCC2 homolog	Protein RCC2 (Mus musculus OX%3D10090)	"InterPro:IPR000408,Pfam:PF00415"	
NVEC200_002376_1.1		NVEC200_002376_1.1	Unknown protein		
NVEC200_002377_1.1	Syt14	Synaptotagmin-14 (Mus musculus OX%3D10090)	Synaptotagmin-14 (Mus musculus OX%3D10090)	"InterPro:IPR000008,Pfam:PF00168"	
NVEC200_002378_1.1	SLC7A14	Cationic amino acid transporter 2	Probable cationic amino acid transporter (Homo sapiens OX%3D9606)	"InterPro:IPR002293,InterPro:IPR029485,Pfam:PF13520,Pfam:PF13906"	"GO:0016020,GO:0022857,GO:0055085"
NVEC200_002379_1.1	SYT14	Synaptotagmin-14 (Homo sapiens OX%3D9606)	Synaptotagmin-14 (Homo sapiens OX%3D9606)	"InterPro:IPR000008,Pfam:PF00168"	
NVEC200_002380_1.1		NVEC200_002380_1.1	Synaptotagmin-14		
NVEC200_002381_1.1	Sec62	Translocation protein SEC62	Translocation protein SEC62 (Mus musculus OX%3D10090)	"InterPro:IPR004728,Pfam:PF03839"	"GO:0015031,GO:0030176"
NVEC200_002382_1.1	Rfk	Riboflavin kinase	Riboflavin kinase (Mus musculus OX%3D10090)	"InterPro:IPR015865,Pfam:PF01687"	"GO:0008531,GO:0009231"
NVEC200_002383_1.1	slc22a6-b	Solute carrier family 22 member 21	Solute carrier family 22 member 6-B (Xenopus laevis OX%3D8355)	"InterPro:IPR011701,Pfam:PF07690"	"GO:0022857,GO:0055085"
NVEC200_002384_1.1	ZSCAN5C	Unknown protein	Zinc finger and SCAN domain-containing protein 5C (Homo sapiens OX%3D9606)	"InterPro:IPR013087,Pfam:PF00096"	
NVEC200_002385_1.1	exoc8	Exocyst complex component 8	Exocyst complex component 8 (Xenopus laevis OX%3D8355)	"InterPro:IPR032403,Pfam:PF08700,Pfam:PF16528"	
NVEC200_002386_1.1	Agtrap	Type-1 angiotensin II receptor-associated protein	Type-1 angiotensin II receptor-associated protein (Mus musculus OX%3D10090)	"InterPro:IPR009436,Pfam:PF06396"	GO:0038166
NVEC200_002387_1.1	ttc36	Tetratricopeptide repeat domain 36	Tetratricopeptide repeat protein 36 homolog (Nematostella vectensis OX%3D45351)	"InterPro:IPR019734,Pfam:PF13181"	GO:0005515
NVEC200_002388_1.1	Foxl2	Forkhead box L2 protein	Forkhead box protein L2 (Mus musculus OX%3D10090)	"InterPro:IPR001766,Pfam:PF00250"	"GO:0003700,GO:0006355,GO:0043565"
NVEC200_002389_1.1	Copb2	Coatomer subunit beta'	Coatomer subunit beta' (Mus musculus OX%3D10090)	"InterPro:IPR001680,InterPro:IPR006692,Pfam:PF00400,Pfam:PF04053"	"GO:0005198,GO:0005515,GO:0006886,GO:0016192,GO:0030117"
NVEC200_002390_1.1	OPN4	Melanopsin (Podarcis siculus OX%3D65484)	Melanopsin (Podarcis siculus OX%3D65484)	"InterPro:IPR017452,Pfam:PF00001"	GO:0016021
NVEC200_002391_1.1	Mob3	MOB kinase activator-like 3	MOB kinase activator-like 3 (Drosophila melanogaster OX%3D7227)	"InterPro:IPR005301,Pfam:PF03637"	
NVEC200_002392_1.1		V-type proton ATPase subunit C	Similar to V-type proton ATPase subunit C (Manduca sexta OX%3D7130)	"InterPro:IPR004907,Pfam:PF03223"	"GO:0015078,GO:0033180,GO:1902600"
NVEC200_002393_1.1	cwf19l1	CWF19 like cell cycle control factor 1	CWF19-like protein 1 (Xenopus laevis OX%3D8355)	"InterPro:IPR006767,InterPro:IPR006768,Pfam:PF04676,Pfam:PF04677"	
NVEC200_002394_1.1	Rps11	40S ribosomal protein S11	40S ribosomal protein S11 (Rattus norvegicus OX%3D10116)	"InterPro:IPR000266,InterPro:IPR032440,Pfam:PF00366,Pfam:PF16205"	"GO:0003735,GO:0005840,GO:0006412"
NVEC200_002395_1.1	KIF21A	Kinesin-like protein KIF21A	Kinesin-like protein KIF21A (Homo sapiens OX%3D9606)	"InterPro:IPR001680,InterPro:IPR001752,Pfam:PF00225,Pfam:PF00400"	"GO:0003777,GO:0005515,GO:0005524,GO:0007018,GO:0008017"
NVEC200_002396_1.1		NVEC200_002396_1.1	Unknown protein		
NVEC200_002397_1.1	ADAM9	Disintegrin and metalloproteinase domain-containing protein 9	Disintegrin and metalloproteinase domain-containing protein 9 (Homo sapiens OX%3D9606)	"InterPro:IPR000421,InterPro:IPR000884,InterPro:IPR001590,InterPro:IPR001762,InterPro:IPR002870,InterPro:IPR006586,Pfam:PF00090,Pfam:PF00200,Pfam:PF00754,Pfam:PF01421,Pfam:PF01562,Pfam:PF08516"	"GO:0004222,GO:0006508"
NVEC200_002398_1.1	MAP3K19	Mitogen-activated protein kinase kinase kinase 19	Mitogen-activated protein kinase kinase kinase 19 (Homo sapiens OX%3D9606)	"InterPro:IPR000719,InterPro:IPR020683,Pfam:PF00069,Pfam:PF12796"	"GO:0004672,GO:0005524,GO:0006468"
NVEC200_002399_1.1	Rasef	Ras and EF-hand domain-containing protein	Ras and EF-hand domain-containing protein homolog (Mus musculus OX%3D10090)	"InterPro:IPR001806,InterPro:IPR002048,Pfam:PF00071,Pfam:PF13499"	"GO:0003924,GO:0005509,GO:0005525"
NVEC200_002400_1.1	ube2t	Ubiquitin-conjugating enzyme E2 T	Ubiquitin-conjugating enzyme E2 T (Danio rerio OX%3D7955)	"InterPro:IPR000608,Pfam:PF00179"	
NVEC200_002401_1.1	At1g78280	JmjC domain-containing protein	F-box protein At1g78280 (Arabidopsis thaliana OX%3D3702)	"InterPro:IPR041667,Pfam:PF13621"	
NVEC200_002402_1.1	TTC17	TPR_REGION domain-containing protein	Tetratricopeptide repeat protein 17 (Homo sapiens OX%3D9606)	"InterPro:IPR019734,Pfam:PF13181,Pfam:PF13431"	GO:0005515
NVEC200_002403_1.1	pol	RNA-directed DNA polymerase from mobile element jockey (Drosophila melanogaster OX%3D7227)	RNA-directed DNA polymerase from mobile element jockey (Drosophila melanogaster OX%3D7227)	"InterPro:IPR000477,Pfam:PF00078"	
NVEC200_002404_1.1	PTPRD	Protein tyrosine phosphatase receptor type F	Receptor-type tyrosine-protein phosphatase delta (Homo sapiens OX%3D9606)	"InterPro:IPR000242,InterPro:IPR000421,InterPro:IPR003961,InterPro:IPR041201,Pfam:PF00041,Pfam:PF00102,Pfam:PF00754,Pfam:PF18861"	"GO:0004725,GO:0005515,GO:0006470"
NVEC200_002405_1.1		NVEC200_002405_1.1	NVEC200_002405_1.1	"InterPro:IPR005312,Pfam:PF03564"	
NVEC200_002406_1.1		NVEC200_002406_1.1	Integrase catalytic domain-containing protein	"InterPro:IPR040676,Pfam:PF18701"	
NVEC200_002407_1.1		NVEC200_002407_1.1	Unknown protein	"InterPro:IPR006612,Pfam:PF05485"	GO:0003676
NVEC200_002408_1.1		NVEC200_002408_1.1	Receptor-type tyrosine-protein phosphatase delta		
NVEC200_002409_1.1	Grin1	"Glutamate receptor ionotropic,NMDA 1"	Glutamate receptor ionotropic%2C NMDA 1 (Mus musculus OX%3D10090)	"InterPro:IPR001320,InterPro:IPR001638,InterPro:IPR001828,Pfam:PF00060,Pfam:PF00497,Pfam:PF01094"	"GO:0015276,GO:0016020"
NVEC200_002410_1.1	Grin1	"Glutamate receptor ionotropic,NMDA 1"	Glutamate receptor ionotropic%2C NMDA 1 (Mus musculus OX%3D10090)	"InterPro:IPR001320,InterPro:IPR001638,InterPro:IPR001828,Pfam:PF00060,Pfam:PF00497,Pfam:PF01094"	"GO:0015276,GO:0016020"
NVEC200_002411_1.1		NVEC200_002411_1.1	mRNA	"InterPro:IPR003582,Pfam:PF01549"	
NVEC200_002412_1.1	SIAM614_09648	Isatin hydrolase (Labrenzia aggregata (strain ATCC 25650 / DSM 13394 / JCM 20685 / NBRC 16684 / NCIMB 2208 / IAM 12614) OX%3D384765)	Isatin hydrolase (Labrenzia aggregata (strain ATCC 25650 / DSM 13394 / JCM 20685 / NBRC 16684 / NCIMB 2208 / IAM 12614) OX%3D384765)	"InterPro:IPR007325,Pfam:PF04199"	"GO:0004061,GO:0019441"
NVEC200_002413_1.1		NVEC200_002413_1.1	RNA-directed DNA polymerase from mobile element jockey		
NVEC200_002414_1.1	Mfge8	Receptor-type tyrosine-protein phosphatase F	Lactadherin (Rattus norvegicus OX%3D10116)	"InterPro:IPR000242,InterPro:IPR000421,InterPro:IPR003961,InterPro:IPR041201,Pfam:PF00041,Pfam:PF00102,Pfam:PF00754,Pfam:PF18861"	"GO:0004725,GO:0005515,GO:0006470"
NVEC200_002415_1.1	SIAM614_09648	Cyclase family protein	Isatin hydrolase (Labrenzia aggregata (strain ATCC 25650 / DSM 13394 / JCM 20685 / NBRC 16684 / NCIMB 2208 / IAM 12614) OX%3D384765)	"InterPro:IPR007325,Pfam:PF04199"	"GO:0004061,GO:0019441"
NVEC200_002416_1.1	TCF19	FHA domain-containing protein	Transcription factor 19 (Pan troglodytes OX%3D9598)	"InterPro:IPR000253,Pfam:PF00498"	GO:0005515
NVEC200_002417_1.1	TMEM222	Transmembrane protein 222	Transmembrane protein 222 (Homo sapiens OX%3D9606)	"InterPro:IPR008496,Pfam:PF05608"	
NVEC200_002418_1.1	Lama2	"Leucine,glutamate and lysine rich 1"	Laminin subunit alpha-2 (Mus musculus OX%3D10090)		
NVEC200_002419_1.1	secG	"Ankyrin repeat,PH and SEC7 domain containing protein secG"	Ankyrin repeat%2C PH and SEC7 domain containing protein secG (Dictyostelium discoideum OX%3D44689)	"InterPro:IPR002110,InterPro:IPR020683,Pfam:PF00023,Pfam:PF12796,Pfam:PF13637"	GO:0005515
NVEC200_002420_1.1	Slc39a14	Zinc transporter ZIP14	Metal cation symporter ZIP14 (Mus musculus OX%3D10090)	"InterPro:IPR003689,Pfam:PF02535"	"GO:0016020,GO:0030001,GO:0046873,GO:0055085"
NVEC200_002421_1.1	Slc39a14	Zinc transporter ZIP14	Metal cation symporter ZIP14 (Mus musculus OX%3D10090)	"InterPro:IPR003689,Pfam:PF02535"	"GO:0016020,GO:0030001,GO:0046873,GO:0055085"
NVEC200_002422_1.1	H6PD	Hexose-6-phosphate dehydrogenase/glucose 1-dehydrogenase	GDH/6PGL endoplasmic bifunctional protein (Homo sapiens OX%3D9606)	"InterPro:IPR006148,InterPro:IPR022674,InterPro:IPR022675,Pfam:PF00479,Pfam:PF01182,Pfam:PF02781"	"GO:0004345,GO:0005975,GO:0006006,GO:0016614,GO:0050661,GO:0055114"
NVEC200_002423_1.1		NVEC200_002423_1.1	Cation-dependent mannose-6-phosphate receptor		
NVEC200_002424_1.1	Icmt	Protein-S-isoprenylcysteine O-methyltransferase	Protein-S-isoprenylcysteine O-methyltransferase (Fragment) (Rattus norvegicus OX%3D10116)	"InterPro:IPR007269,Pfam:PF04140"	"GO:0004671,GO:0006481,GO:0016021"
NVEC200_002425_1.1		NVEC200_002425_1.1	Unknown protein		
NVEC200_002426_1.1	Grm2	Metabotropic glutamate receptor	Metabotropic glutamate receptor 2 (Mus musculus OX%3D10090)	"InterPro:IPR001828,InterPro:IPR011500,InterPro:IPR017978,Pfam:PF00003,Pfam:PF01094,Pfam:PF07562"	"GO:0004930,GO:0007186,GO:0016021"
NVEC200_002427_1.1	ADGRG4	Adhesion G-protein coupled receptor G2	Adhesion G-protein coupled receptor G4 (Homo sapiens OX%3D9606)	"InterPro:IPR000832,Pfam:PF00002"	"GO:0004930,GO:0007186,GO:0016021"
NVEC200_002428_1.1	MAGOHB	Protein mago nashi homolog	Protein mago nashi homolog 2 (Homo sapiens OX%3D9606)	"InterPro:IPR004023,Pfam:PF02792"	"GO:0008380,GO:0035145"
NVEC200_002429_1.1		NVEC200_002429_1.1	Unknown protein	"InterPro:IPR000082,Pfam:PF01390"	
NVEC200_002430_1.1	Ttc3	E3 ubiquitin-protein ligase TTC3 isoform X1	E3 ubiquitin-protein ligase TTC3 (Rattus norvegicus OX%3D10116)	"InterPro:IPR001841,InterPro:IPR019734,Pfam:PF13181,Pfam:PF13639"	GO:0005515
NVEC200_002431_1.1		NVEC200_002431_1.1	Unknown protein		
NVEC200_002432_1.1		NVEC200_002432_1.1	Unknown protein		
NVEC200_002433_1.1		NVEC200_002433_1.1	Unknown protein		
NVEC200_002434_1.1		NVEC200_002434_1.1	Unknown protein		
NVEC200_002435_1.1	Mfsd6	Major facilitator superfamily domain-containing protein 6	Major facilitator superfamily domain-containing protein 6 (Mus musculus OX%3D10090)	"InterPro:IPR024989,Pfam:PF12832"	
NVEC200_002436_1.1	GP2	Pancreatic secretory granule membrane major glycoprotein GP2 (Canis lupus familiaris OX%3D9615)			
NVEC200_002437_1.1	GP2	Pancreatic secretory granule membrane major glycoprotein GP2 (Canis lupus familiaris OX%3D9615)			
NVEC200_002438_1.1	Svep1	Adhesion G protein-coupled receptor D2	Sushi%2C von Willebrand factor type A%2C EGF and pentraxin domain-containing protein 1 (Rattus norvegicus OX%3D10116)	"InterPro:IPR001759,Pfam:PF00354"	
NVEC200_002439_1.1	K02F3.12	ATP-dependent DNA helicase RecQ	Putative ATP-dependent DNA helicase Q1 (Caenorhabditis elegans OX%3D6239)		
NVEC200_002440_1.1		NVEC200_002440_1.1	NVEC200_002440_1.1	"InterPro:IPR002048,Pfam:PF13499"	GO:0005509
NVEC200_002441_1.1		NVEC200_002441_1.1	Unknown protein		
NVEC200_002442_1.1	Ddx19a	ATP-dependent RNA helicase DDX19A	ATP-dependent RNA helicase DDX19A (Mus musculus OX%3D10090)	"InterPro:IPR001650,InterPro:IPR011545,Pfam:PF00270,Pfam:PF00271"	"GO:0003676,GO:0005524"
NVEC200_002443_1.1	ALG3	"Dol-P-Man:Man(5)GlcNAc(2)-PP-Dol alpha-1,3-mannosyltransferase"	Dol-P-Man:Man(5)GlcNAc(2)-PP-Dol alpha-1%2C3-mannosyltransferase (Homo sapiens OX%3D9606)	"InterPro:IPR007873,Pfam:PF05208"	"GO:0000030,GO:0030176"
NVEC200_002444_1.1		NVEC200_002444_1.1	Folate_rec domain-containing protein	"InterPro:IPR018143,Pfam:PF03024"	
NVEC200_002445_1.1	Csnk1a1	Casein kinase I isoform alpha	Casein kinase I isoform alpha (Mus musculus OX%3D10090)	"InterPro:IPR000719,Pfam:PF00069"	"GO:0004672,GO:0005524,GO:0006468"
NVEC200_002446_1.1	Slc22a5	Solute carrier family 22 member 5	Solute carrier family 22 member 5 (Mus musculus OX%3D10090)	"InterPro:IPR005828,Pfam:PF00083"	"GO:0016021,GO:0022857,GO:0055085"
NVEC200_002447_1.1		NVEC200_002447_1.1	Unknown protein		
NVEC200_002448_1.1	ropn1l	Ropporin-1-like protein	Ropporin-1-like protein (Xenopus laevis OX%3D8355)		
NVEC200_002449_1.1	Ttc23	Tetratricopeptide repeat protein 23-like	Tetratricopeptide repeat protein 23 (Rattus norvegicus OX%3D10116)	Pfam:PF13424	
NVEC200_002450_1.1	cep152	Centrosomal protein 152	Centrosomal protein of 152 kDa (Xenopus laevis OX%3D8355)		
NVEC200_002451_1.1	Nhlrc2	NHL repeat-containing protein 2	NHL repeat-containing protein 2 (Mus musculus OX%3D10090)	"InterPro:IPR013658,Pfam:PF08450"	
NVEC200_002452_1.1		Prostaglandin F synthase	Similar to 9%2C11-endoperoxide prostaglandin H2 reductase (Trypanosoma brucei brucei OX%3D5702)	"InterPro:IPR002372,InterPro:IPR023210,InterPro:IPR041667,Pfam:PF00248,Pfam:PF13360,Pfam:PF13621"	
NVEC200_002453_1.1		NVEC200_002453_1.1	LysM and peptidoglycan-binding domain-containing 1-like protein		
NVEC200_002454_1.1	RTC5	Kinesin motor domain protein	Restriction of telomere capping protein 5 (Leptosphaeria maculans (strain JN3 / isolate v23.1.3 / race Av1-4-5-6-7-8) OX%3D985895)	"InterPro:IPR006571,Pfam:PF07534"	
NVEC200_002455_1.1	DYM	Dymeclin (Gallus gallus OX%3D9031)	Dymeclin (Gallus gallus OX%3D9031)	Pfam:PF09742	
NVEC200_002456_1.1	Slc6a19	Sodium-dependent neutral amino acid transporter B(0)AT1 (Rattus norvegicus OX%3D10116)	Sodium-dependent neutral amino acid transporter B(0)AT1 (Rattus norvegicus OX%3D10116)	"InterPro:IPR000175,Pfam:PF00209"	GO:0016021
NVEC200_002457_1.1	SLC6A15	Sodium-dependent neutral amino acid transporter B(0)AT2 (Pongo abelii OX%3D9601)	Sodium-dependent neutral amino acid transporter B(0)AT2 (Pongo abelii OX%3D9601)	"InterPro:IPR000175,Pfam:PF00209"	GO:0016021
NVEC200_002458_1.1	Tll1	Cubilin (intrinsic factor-cobalamin receptor)	Tolloid-like protein 1 (Mus musculus OX%3D10090)	"InterPro:IPR000859,Pfam:PF00431"	
NVEC200_002459_1.1	faxc	Failed axon connections-like protein	Failed axon connections homolog (Xenopus tropicalis OX%3D8364)	"InterPro:IPR012336,InterPro:IPR033468,Pfam:PF17171,Pfam:PF17172"	
NVEC200_002460_1.1	NEK8	Protein kinase domain-containing protein	Serine/threonine-protein kinase Nek8 (Homo sapiens OX%3D9606)	"InterPro:IPR000408,InterPro:IPR000719,InterPro:IPR025592,Pfam:PF00069,Pfam:PF00415,Pfam:PF14252"	"GO:0004672,GO:0005524,GO:0006468"
NVEC200_002461_1.1	Dut	Deoxyuridine 5'-triphosphate nucleotidohydrolase	Deoxyuridine 5'-triphosphate nucleotidohydrolase (Rattus norvegicus OX%3D10116)	"InterPro:IPR029054,Pfam:PF00692"	
NVEC200_002462_1.1	BLOC1S6	Biogenesis of lysosome-related organelles complex 1 subunit 6	Biogenesis of lysosome-related organelles complex 1 subunit 6 (Bos taurus OX%3D9913)	"InterPro:IPR028119,Pfam:PF14712"	
NVEC200_002463_1.1	Slc17a9	Solute carrier family 17 member 9	Solute carrier family 17 member 9 (Mus musculus OX%3D10090)	"InterPro:IPR011701,Pfam:PF07690"	"GO:0022857,GO:0055085"
NVEC200_002464_1.1	Strc	Stereocilin (Mus musculus OX%3D10090)			
NVEC200_002465_1.1	GBP6	GB1/RHD3-type G domain-containing protein	Guanylate-binding protein 6 (Homo sapiens OX%3D9606)	"InterPro:IPR003191,InterPro:IPR015894,Pfam:PF02263,Pfam:PF02841"	"GO:0003924,GO:0005525"
NVEC200_002466_1.1	ZNF208	Histone-lysine N-methyltransferase PRDM9	Zinc finger protein 208 (Homo sapiens OX%3D9606)	"InterPro:IPR013087,Pfam:PF00096"	
NVEC200_002467_1.1	grik2	"Glutamate receptor ionotropic,kainate 2"	Glutamate receptor ionotropic%2C kainate 2 (Xenopus laevis OX%3D8355)	"InterPro:IPR001320,InterPro:IPR001828,InterPro:IPR019594,Pfam:PF00060,Pfam:PF01094,Pfam:PF10613"	"GO:0004970,GO:0015276,GO:0016020"
